datetime,timestamp,open,high,low,close,volume
2025-07-25 15:15:25.267630,1753427725,3494279.504727612,3540079.6978763863,3521504.8340642666,3526085.7,32.17126960787606
2025-07-25 16:15:25.267630,1753431325,3524208.8719818834,3577587.126498393,3477079.44626922,3525232.3607741194,86.19114516182248
2025-07-25 17:15:25.267630,1753434925,3523818.811541369,3536225.5498922947,3512318.19189722,3525341.3732890617,53.02069349805492
2025-07-25 18:15:25.267630,1753438525,3544860.197885952,3525163.932868537,3498222.025458922,3524636.0954047544,20.966451699698084
2025-07-25 19:15:25.267630,1753442125,3527809.602624685,3538682.8444216168,3500511.474479984,3529407.078875885,57.546283899481175
2025-07-25 20:15:25.267630,1753445725,3527214.849788372,3602823.4387670215,3453466.9589892863,3529084.3480972396,14.584653966861222
2025-07-25 21:15:25.267630,1753449325,3526708.552261916,3532206.2533317506,3515594.709970786,3525073.361783965,30.566010775321228
2025-07-25 22:15:25.267630,1753452925,3551766.179990209,3583753.6201432818,3502482.612725789,3521347.347249405,42.75069342911574
2025-07-25 23:15:25.267630,1753456525,3558742.330256936,3556864.980378174,3480327.6548935743,3523625.151254277,5.300701409745947
2025-07-26 00:15:25.267630,1753460125,3494711.241404718,3531164.455701633,3511022.6241481453,3522030.714695093,134.72520184541696
2025-07-26 01:15:25.267630,1753463725,3518459.6074952846,3570488.2179302587,3522894.5920929485,3527775.4615020035,54.15591303496689
2025-07-26 02:15:25.267630,1753467325,3496684.6903109043,3569427.760005926,3509004.197687345,3533048.9044074384,183.8306175040022
2025-07-26 03:15:25.267630,1753470925,3499600.4124162537,3587957.0229489002,3478522.8903020546,3527255.036631312,27.849013962884143
2025-07-26 04:15:25.267630,1753474525,3538312.5851108423,3561290.769695957,3498746.5284397635,3527493.01778928,50.657639375569616
2025-07-26 05:15:25.267630,1753478125,3518920.2988349604,3537636.172848175,3476722.1515460284,3516406.701068958,77.44717724654889
2025-07-26 06:15:25.267630,1753481725,3518108.0358657106,3546963.695813817,3500742.1844950058,3528179.821325237,358.8946447929225
2025-07-26 07:15:25.267630,1753485325,3509898.1133004525,3568363.3960656617,3523647.8539798036,3526252.19118399,2.9268364931335786
2025-07-26 08:15:25.267630,1753488925,3528445.4995907308,3554356.691996622,3509171.104357035,3535302.29681183,24.383136995517933
2025-07-26 09:15:25.267630,1753492525,3499637.1652397127,3545519.617371941,3516807.356821896,3518709.296002535,4.695012230575923
2025-07-26 10:15:25.267630,1753496125,3537589.575748026,3551362.260775743,3503425.2379647586,3527289.7019032673,2.2440559922834074
2025-07-26 11:15:25.267630,1753499725,3561946.783007368,3612271.813125136,3520846.51874414,3536441.1308631757,64.66345253734593
2025-07-26 12:15:25.267630,1753503325,3514249.421229855,3550140.6990786376,3494794.520909614,3522259.1679749265,213.13081774820128
